,grad_loss,value_loss,psnr,ssim,lr
0,251.77452087402344,0.833348274230957,48.92253821944629,-0.012743309037288165,0.01
500,39834.00390625,0.010968196205794811,67.72945168854847,0.5519498079915507,0.01
1000,41584.69140625,0.014191599562764168,66.61049012241766,0.4560796736680146,0.01
