,grad_loss,value_loss,psnr,ssim,lr
0,731.8883056640625,0.5485362410545349,50.738750268111104,0.015547382835998472,0.01
500,289.7017822265625,0.0026684931945055723,73.86814258325639,0.8836371304437776,0.01
1000,219.77517700195312,0.0016117102932184935,76.05793422602892,0.9290595250601905,0.01
